"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Object,29242,maletín,29242,NCMS000,29242,"Fuente_Virginia_ES.eaf"
Human,53312,hombre,53312,NCMS000,53312,"Fuente_Virginia_ES.eaf"
Putting,53576,sacar,53576,VMIP3S0,53576,"Fuente_Virginia_ES.eaf"
-,54104,cuidado,54104,NCMS000,54104,"Fuente_Virginia_ES.eaf"
Clothing,54632,gafas,54632,NCFP000,54632,"Fuente_Virginia_ES.eaf"
-,55160,sol,55160,NCMS000,55160,"Fuente_Virginia_ES.eaf"
-,55952,estilo,55952,NCMS000,55952,"Fuente_Virginia_ES.eaf"
Human,56216,aviador,56216,AQ0MS0,56216,"Fuente_Virginia_ES.eaf"
Clothing,57272,bolsillo,57272,NCMS000,57272,"Fuente_Virginia_ES.eaf"
Clothing,58064,americana,58064,NCFS000,58064,"Fuente_Virginia_ES.eaf"
Putting,60244,poner,60244,VMIP3S0,60244,"Fuente_Virginia_ES.eaf"
Clothing,61024,gafas,61024,NCFP000,61024,"Fuente_Virginia_ES.eaf"
Seeing,61804,mirar,61804,VMIP3S0,61804,"Fuente_Virginia_ES.eaf"
-,62974,frente,62974,NCFS000,62974,"Fuente_Virginia_ES.eaf"
Aux,64983,ser,64983,VA,64983,"Fuente_Virginia_ES.eaf"
Human,66247,empresario,66247,NCMS000,66247,"Fuente_Virginia_ES.eaf"
Walking,67785,caminar,67785,VMIP3S0,67785,"Fuente_Virginia_ES.eaf"
Location,68460,playa,68460,NCFS000,68460,"Fuente_Virginia_ES.eaf"
Object,69135,bolsa,69135,NCFS000,69135,"Fuente_Virginia_ES.eaf"
Object,69585,tela,69585,NCFS000,69585,"Fuente_Virginia_ES.eaf"
-,70035,raya,70035,NCFP000,70035,"Fuente_Virginia_ES.eaf"
A-PositionalAttribute,70260,echar,70260,VMP00SF,70260,"Fuente_Virginia_ES.eaf"
BodyPart,70935,hombro,70935,NCMS000,70935,"Fuente_Virginia_ES.eaf"
Location,92519,playa,92519,NCFS000,92519,"Fuente_Virginia_ES.eaf"
Location,93543,arena,93543,NCFS000,93543,"Fuente_Virginia_ES.eaf"
exists,94055,haber,94055,VMIP3S0,94055,"Fuente_Virginia_ES.eaf"
Object,94567,toalla,94567,NCFS000,94567,"Fuente_Virginia_ES.eaf"
-,95335,revoltijo,95335,NCMS000,95335,"Fuente_Virginia_ES.eaf"
Clothing,95847,ropa,95847,NCFS000,95847,"Fuente_Virginia_ES.eaf"
BodyMotion,96871,tumbar,96871,VMIP3S0,96871,"Fuente_Virginia_ES.eaf"
Object,97639,toalla,97639,NCFS000,97639,"Fuente_Virginia_ES.eaf"
PositionalAttribute,97895,bocarriba,97895,RG,97895,"Fuente_Virginia_ES.eaf"
BodyMotion,100802,frotar,100802,VMIP3S0,100802,"Fuente_Virginia_ES.eaf"
