"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Location,747200,sand,747200,NN,747200,"ADAssociates-US.eaf"
Vegetable,747810,foliage,747810,NN,747810,"ADAssociates-US.eaf"
Human,759601,woman,759601,NN,759601,"ADAssociates-US.eaf"
Object,760354,phone,760354,NN,760354,"ADAssociates-US.eaf"
BodyMotion,760856,hang,760856,VBG,760856,"ADAssociates-US.eaf"
Clothing,761107,laundry,761107,NN,761107,"ADAssociates-US.eaf"
-,764098,n't,764098,RB,764098,"ADAssociates-US.eaf"
-,764405,/,764405,VB,764405,"ADAssociates-US.eaf"
Process,765633,finish,765633,VB,765633,"ADAssociates-US.eaf"
-,766247,really,766247,RB,766247,"ADAssociates-US.eaf"
Seeing,767168,look_up,767168,VBZ,767168,"ADAssociates-US.eaf"
-,768089,/,768089,NN,768089,"ADAssociates-US.eaf"
Aux,768703,be,768703,VBP,768703,"ADAssociates-US.eaf"
Communication,769317,talk,769317,VBG,769317,"ADAssociates-US.eaf"
-,770545,course,770545,NN,770545,"ADAssociates-US.eaf"
Object,771773,luggage,771773,NN,771773,"ADAssociates-US.eaf"
Aux,772080,be,772080,VBZ,772080,"ADAssociates-US.eaf"
A-SubjectiveAssessment,772387,ready,772387,JJ,772387,"ADAssociates-US.eaf"
Seeing,773308,look,773308,VBZ,773308,"ADAssociates-US.eaf"
A-SubjectiveAssessment,773615,arround,773615,JJ,773615,"ADAssociates-US.eaf"
Hearing,775690,listen,775690,VB,775690,"ADAssociates-US.eaf"
-,776362,not,776362,RB,776362,"ADAssociates-US.eaf"
Communication,776530,talk,776530,VB,776530,"ADAssociates-US.eaf"
-,776698,right,776698,RB,776698,"ADAssociates-US.eaf"
Time,776866,now,776866,RB,776866,"ADAssociates-US.eaf"
Motion,777706,leave,777706,VB,777706,"ADAssociates-US.eaf"
Human,778210,zoe,778210,NNP,778210,"ADAssociates-US.eaf"
A-PositionalAttribute,780655,next,780655,JJ,780655,"ADAssociates-US.eaf"
-,781020,one,781020,NN,781020,"ADAssociates-US.eaf"
A-RadiatingLight,4166,overcast,4166,JJ,4166,"Able-NZ.eaf"
Time,4434,day,4434,NN,4434,"Able-NZ.eaf"
Human,5238,man,5238,NN,5238,"Able-NZ.eaf"
Human,6042,woman,6042,NN,6042,"Able-NZ.eaf"
Walking,6310,walk,6310,VBP,6310,"Able-NZ.eaf"
Location,7114,seaside,7114,NN,7114,"Able-NZ.eaf"
A-SubjectiveAssessment,7918,large,7918,JJ,7918,"Able-NZ.eaf"
A-SubjectiveAssessment,8454,lanky,8454,JJ,8454,"Able-NZ.eaf"
Animal,8722,dog,8722,NN,8722,"Able-NZ.eaf"
Human,9526,jogger,9526,NN,9526,"Able-NZ.eaf"
Motion,9794,pass,9794,VBZ,9794,"Able-NZ.eaf"
A-SubjectiveAssessment,10866,opposite,10866,JJ,10866,"Able-NZ.eaf"
Location,11134,direction,11134,NN,11134,"Able-NZ.eaf"
Animal,11938,dog,11938,NN,11938,"Able-NZ.eaf"
Motion,12206,pause,12206,VBZ,12206,"Able-NZ.eaf"
Smelling,12742,sniff,12742,VB,12742,"Able-NZ.eaf"
Location,13278,ground,13278,NN,13278,"Able-NZ.eaf"
Walking,13814,trot,13814,VBZ,13814,"Able-NZ.eaf"
Location,14082,onwards,14082,RB,14082,"Able-NZ.eaf"
A-ColorAttribute,18850,black,18850,JJ,18850,"Able-NZ.eaf"
FilmLanguage,19093,text,19093,NN,19093,"Able-NZ.eaf"
A-ColorAttribute,19822,white,19822,JJ,19822,"Able-NZ.eaf"
FilmLanguage,20065,screen,20065,NN,20065,"Able-NZ.eaf"
Process,20308,appear,20308,VBZ,20308,"Able-NZ.eaf"
Communication,20794,read,20794,VBG,20794,"Able-NZ.eaf"
Process,21766,happen,21766,VBZ,21766,"Able-NZ.eaf"
A-SubjectiveAssessment,22738,followed,22738,JJ,22738,"Able-NZ.eaf"
A-SubjectiveAssessment,23467,long,23467,JJ,23467,"Able-NZ.eaf"
A-ColorAttribute,23710,black,23710,JJ,23710,"Able-NZ.eaf"
FilmLanguage,23953,line,23953,NN,23953,"Able-NZ.eaf"
Human,24682,man,24682,NN,24682,"Able-NZ.eaf"
Clothing,25411,suit,25411,NN,25411,"Able-NZ.eaf"
Clothing,25897,tie,25897,NN,25897,"Able-NZ.eaf"
Communication,26383,talk,26383,VBG,26383,"Able-NZ.eaf"
Object,27112,cellphone,27112,NN,27112,"Able-NZ.eaf"
Motion,27355,pull_up,27355,VBZ,27355,"Able-NZ.eaf"
Location,28084,seaside,28084,NN,28084,"Able-NZ.eaf"
A-ColorAttribute,28813,white,28813,JJ,28813,"Able-NZ.eaf"
-,29056,bmw,29056,NNP,29056,"Able-NZ.eaf"
Putting,52940,pocket,52940,VBG,52940,"Able-NZ.eaf"
Object,53484,cellphone,53484,NN,53484,"Able-NZ.eaf"
A-BodyPart,54300,bearded,54300,JJ,54300,"Able-NZ.eaf"
Human,54572,man,54572,NN,54572,"Able-NZ.eaf"
Putting,54844,chuck,54844,VBZ,54844,"Able-NZ.eaf"
Object,55388,briefcase,55388,NN,55388,"Able-NZ.eaf"
Location,56204,boot,56204,NN,56204,"Able-NZ.eaf"
-,57020,car,57020,NN,57020,"Able-NZ.eaf"
Dressing,57564,don,57564,VBZ,57564,"Able-NZ.eaf"
-,58108,pair,58108,NN,58108,"Able-NZ.eaf"
-,58652,aviator,58652,NN,58652,"Able-NZ.eaf"
Clothing,58924,sunglasse,58924,NNS,58924,"Able-NZ.eaf"
A-ColorAttribute,65640,white,65640,JJ,65640,"Able-NZ.eaf"
FilmLanguage,65976,text,65976,NN,65976,"Able-NZ.eaf"
Communication,66312,read,66312,VBZ,66312,"Able-NZ.eaf"
Human,66984,james,66984,NNP,66984,"Able-NZ.eaf"
Human,67992,businessman,67992,NN,67992,"Able-NZ.eaf"
Time,68664,later,68664,RB,68664,"Able-NZ.eaf"
Human,69336,james,69336,NNP,69336,"Able-NZ.eaf"
Process,69672,make,69672,VBZ,69672,"Able-NZ.eaf"
-,70344,call,70344,NN,70344,"Able-NZ.eaf"
Time,92680,later,92680,RB,92680,"Able-NZ.eaf"
A-Dressing,93556,shirtless,93556,JJ,93556,"Able-NZ.eaf"
Human,93848,james,93848,NNP,93848,"Able-NZ.eaf"
BodyMotion,94140,lie_back,94140,VBZ,94140,"Able-NZ.eaf"
Location,95016,beach,95016,NN,95016,"Able-NZ.eaf"
Object,95308,towel,95308,NN,95308,"Able-NZ.eaf"
Location,96184,sand,96184,NN,96184,"Able-NZ.eaf"
Seeing,99690,look,99690,VBG,99690,"Able-NZ.eaf"
A-StateOfMind,100014,weary,100014,JJ,100014,"Able-NZ.eaf"
BodyMotion,100986,place,100986,VBZ,100986,"Able-NZ.eaf"
BodyPart,101634,hand,101634,NNS,101634,"Able-NZ.eaf"
BodyPart,102606,eye,102606,NNS,102606,"Able-NZ.eaf"
Time,103254,then,103254,RB,103254,"Able-NZ.eaf"
BodyMotion,103578,trail,103578,VBZ,103578,"Able-NZ.eaf"
BodyPart,104226,finger,104226,NNS,104226,"Able-NZ.eaf"
A-ColorAttribute,105198,pale,105198,JJ,105198,"Able-NZ.eaf"
Location,105522,sand,105522,NN,105522,"Able-NZ.eaf"
Gesture,112620,frown,112620,VBG,112620,"Able-NZ.eaf"
Human,113424,james,113424,NNP,113424,"Able-NZ.eaf"
BodyMotion,113826,sit_up,113826,VBZ,113826,"Able-NZ.eaf"
Seeing,142377,look,142377,VBZ,142377,"Able-NZ.eaf"
A-StateOfMind,142734,distracted,142734,VBN,142734,"Able-NZ.eaf"
Human,157990,james,157990,NNP,157990,"Able-NZ.eaf"
