"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Quantifier,236568,ligeramente,236568,RG,236568,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,236860,descuidar,236860,VMP00SF,236860,"Aptent-ES.eaf"
Aux,237152,estar,237152,VSIP3S0,237152,"Aptent-ES.eaf"
A-PositionalAttribute,237444,sentar,237444,VMP00SM,237444,"Aptent-ES.eaf"
Object,238320,banco,238320,NCMS000,238320,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,238612,individual,238612,AQ0CS0,238612,"Aptent-ES.eaf"
A-PositionalAttribute,238904,rodear,238904,VMP00SM,238904,"Aptent-ES.eaf"
Vegetable,239488,vegetación,239488,NCFS000,239488,"Aptent-ES.eaf"
Touching,240072,sostener,240072,VMIP3S0,240072,"Aptent-ES.eaf"
Object,240656,vaso,240656,NCMS000,240656,"Aptent-ES.eaf"
-,241240,plástico,241240,NCMS000,241240,"Aptent-ES.eaf"
Object,241824,tapa,241824,NCFS000,241824,"Aptent-ES.eaf"
BodyMotion,242408,tamborilear,242408,VMIP3S0,242408,"Aptent-ES.eaf"
BodyPart,243868,dedo_índice,243868,NCMS000,243868,"Aptent-ES.eaf"
BodyPart,244744,mano,244744,NCFS000,244744,"Aptent-ES.eaf"
A-PositionalAttribute,245036,izquierdo,245036,AQ0FS0,245036,"Aptent-ES.eaf"
Gesture,248700,sonreír,248700,VMIP3S0,248700,"Aptent-ES.eaf"
Communication,249268,decir,249268,VMIP3S0,249268,"Aptent-ES.eaf"
-,249836,no,249836,RN,249836,"Aptent-ES.eaf"
BodyPart,250688,cabeza,250688,NCFS000,250688,"Aptent-ES.eaf"
Aux,251256,continuar,251256,VMIP3S0,251256,"Aptent-ES.eaf"
Touching,251540,tocar,251540,VMG0000,251540,"Aptent-ES.eaf"
Object,252108,vaso,252108,NCMS000,252108,"Aptent-ES.eaf"
A-StateOfMind,252676,nervioso,252676,AQ0MS0,252676,"Aptent-ES.eaf"
Time,253244,finalmente,253244,RG,253244,"Aptent-ES.eaf"
Putting,253528,quitar,253528,VMIP3S0,253528,"Aptent-ES.eaf"
Object,254096,tapa,254096,NCFS000,254096,"Aptent-ES.eaf"
possesses,254664,contener,254664,VMIP3S0,254664,"Aptent-ES.eaf"
-,254948,café,254948,NCMS000,254948,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,255232,solo,255232,AQ0MS0,255232,"Aptent-ES.eaf"
Seeing,257700,mirar,257700,VMIP3S0,257700,"Aptent-ES.eaf"
Location,258144,interior,258144,NCMS000,258144,"Aptent-ES.eaf"
Object,258810,vaso,258810,NCMS000,258810,"Aptent-ES.eaf"
Drinking,259254,beber,259254,VMIP3S0,259254,"Aptent-ES.eaf"
-,259698,trago,259698,NCMS000,259698,"Aptent-ES.eaf"
IntentionalPsychologicalProcess,260364,saborear,260364,VMIP3S0,260364,"Aptent-ES.eaf"
A-FilmLanguage,265660,sobreimprimir,265660,VMP00SM,265660,"Aptent-ES.eaf"
Human,267025,jubilado,267025,NCMS000,267025,"Aptent-ES.eaf"
Putting,267571,dejar,267571,VMIP3S0,267571,"Aptent-ES.eaf"
Object,268117,tapa,268117,NCFS000,268117,"Aptent-ES.eaf"
Object,269755,banco,269755,NCMP000,269755,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,270028,individual,270028,AQ0CP0,270028,"Aptent-ES.eaf"
possesses,270574,tener,270574,VMIP3S0,270574,"Aptent-ES.eaf"
Location,271393,lado,271393,NCMS000,271393,"Aptent-ES.eaf"
Time,271939,después,271939,RG,271939,"Aptent-ES.eaf"
Drinking,272212,beber,272212,VMIP3S0,272212,"Aptent-ES.eaf"
-,272758,trago,272758,NCMS000,272758,"Aptent-ES.eaf"
-,273304,café,273304,NCMS000,273304,"Aptent-ES.eaf"
Aux,273850,dejar,273850,VMN0000,273850,"Aptent-ES.eaf"
BodyMotion,274396,mover,274396,VMN0000,274396,"Aptent-ES.eaf"
BodyPart,274942,pierna,274942,NCFS000,274942,"Aptent-ES.eaf"
A-PositionalAttribute,275215,derecho,275215,AQ0FS0,275215,"Aptent-ES.eaf"
A-StateOfMind,275488,nervioso,275488,AQ0MS0,275488,"Aptent-ES.eaf"
Putting,278000,dejar,278000,VMIP3S0,278000,"Aptent-ES.eaf"
Object,278596,vaso,278596,NCMS000,278596,"Aptent-ES.eaf"
Object,279490,tapa,279490,NCFS000,279490,"Aptent-ES.eaf"
BodyMotion,280086,dar_palmadas,280086,VMIP3S0,280086,"Aptent-ES.eaf"
Putting,284940,sacar,284940,VMIP3S0,284940,"Aptent-ES.eaf"
Object,285466,móvil,285466,NCMS000,285466,"Aptent-ES.eaf"
Clothing,286255,bolsillo,286255,NCMS000,286255,"Aptent-ES.eaf"
A-PositionalAttribute,286518,trasero,286518,AQ0MS0,286518,"Aptent-ES.eaf"
Clothing,287307,pantalón,287307,NCMS000,287307,"Aptent-ES.eaf"
Process,287833,acceder,287833,VMIP3S0,287833,"Aptent-ES.eaf"
-,288622,sección,288622,NCFS000,288622,"Aptent-ES.eaf"
-,289148,contacto,289148,NCMP000,289148,"Aptent-ES.eaf"
BodyMotion,289937,deslizar,289937,VMIP3S0,289937,"Aptent-ES.eaf"
BodyPart,290463,dedo,290463,NCMS000,290463,"Aptent-ES.eaf"
Object,291252,panalla,291252,NCFS000,291252,"Aptent-ES.eaf"
Motion,291778,detener,291778,VMN0000,291778,"Aptent-ES.eaf"
BodyMotion,296980,pulsar,296980,VMIP3S0,296980,"Aptent-ES.eaf"
Communication,297277,llamar,297277,VMN0000,297277,"Aptent-ES.eaf"
Gesture,297871,gesto,297871,NCMS000,297871,"Aptent-ES.eaf"
StateOfMind,298465,fastidio,298465,NCMS000,298465,"Aptent-ES.eaf"
Gesture,325460,gesto,325460,NCMS000,325460,"Aptent-ES.eaf"
StateOfMind,326080,impotencia,326080,NCFS000,326080,"Aptent-ES.eaf"
Time,329620,de_repente,329620,RG,329620,"Aptent-ES.eaf"
